Address,Name,Gender,Age,Average Dollar,Coordinates,Latitude,Longitude
"9817 Terrace Lake PT Roswell, GA 30076",Stephen Guy,male,39,141,,,
"9931 Terrace Lake PT Roswell, GA 30076",Thu Maxwell,female,66,41,,,
"2511 Camden Glen CT Roswell, GA 30076",Ollie Bender,male,33,329,,,
"2435 Roxburgh DR Roswell, GA 30076",Perry Cote,male,59,875,,,
"546 Spring Ridge DR Roswell, GA 30076",Israel Alvarez,male,28,61,,,
"10018 Fairway Village DR Roswell, GA 30076",Odell Hinton,male,15,331,,,
"2339 Roxburgh DR Roswell, GA 30076",Beula Osborn,female,50,112,,,
"10022 Fairway Village DR Roswell, GA 30076",Season Horton,female,23,92,,,
"9904 Fairway Village DR Roswell, GA 30076",Antonia Hopper,male,32,645,,,
"2528 Club Springs DR Roswell, GA 30076",Bill Roberts,male,62,602,,,
"9845 Terrace Lake PT Roswell, GA 30076",Jamison Pollard,male,53,455,,,
"2400 Camden Glen CT Roswell, GA 30076",Karren Miles,female,9,139,,,
"334 Spring Ridge DR Roswell, GA 30076",Renay Shelton,female,21,405,,,
"623 Ridgemont DR Roswell, GA 30076",Drew Bird,female,59,249,,,
"217 Spring Ridge TRCE Roswell, GA 30076",Silva Holder,female,18,660,,,
"602 Springview CT Roswell, GA 30076",Fernande Cote,female,22,493,,,
"9941 Fairway Village DR Roswell, GA 30076",Mana Donovan,female,60,648,,,
"2540 Roxburgh DR Roswell, GA 30076",Alysha Harmon,female,64,374,,,
"9928 Fairway Village DR Roswell, GA 30076",Yevette Bowers,female,9,236,,,
"723 Wood Valley TRCE Roswell, GA 30076",Gudrun Smith,female,65,359,,,
"121 Spring Ridge DR Roswell, GA 30076",Monroe Burgess,male,63,445,,,
"203 Spring Ridge DR Roswell, GA 30076",Alan Hayes,male,68,710,,,
"441 Spring Ridge DR Roswell, GA 30076",Renaldo Kramer,male,24,165,,,
"242 Spring Ridge CT Roswell, GA 30076",Deadra Rush,female,65,554,,,
"2447 Roxburgh DR Roswell, GA 30076",Ollie Spears,male,39,229,,,
"237 Spring Ridge DR Roswell, GA 30076",Errol Wall,male,20,142,,,
"114 Spring Ridge CT Roswell, GA 30076",Ivey Bush,female,7,298,,,
"535 Ridgemont DR Roswell, GA 30076",Antonetta Crawford,female,32,543,,,
"1139 Atherton PARK Roswell, GA 30076",Nichelle Anthony,female,50,386,,,
"726 Wood Valley TRCE Roswell, GA 30076",Cathey Best,female,14,222,,,
"2339 Club Springs DR Roswell, GA 30076",Wayne Underwood,male,60,685,,,
"148 Spring Ridge CT Roswell, GA 30076",Darron Bauer,male,40,378,,,
"2248 Roxburgh DR Roswell, GA 30076",Genevive Watts,female,17,392,,,
"735 Springview CT Roswell, GA 30076",Fritz Trevino,male,63,613,,,
"2547 Camden Glen CT Roswell, GA 30076",Christoper Pope,male,62,465,,,
"2527 Roxburgh DR Roswell, GA 30076",Azalee Stanton,female,55,641,,,
"1324 Atherton PARK Roswell, GA 30076",Randal O'donnell,male,6,156,,,
"637 Wood Valley TRCE Roswell, GA 30076",Jinny Sharpe,female,6,383,,,
"550 Wood Valley TRCE Roswell, GA 30076",Cinderella Crosby,female,5,449,,,
"1135 Atherton PARK Roswell, GA 30076",Jon Cortez,male,69,285,,,
"2544 Roxburgh DR Roswell, GA 30076",Dannette Trevino,female,54,490,,,
"641 Wood Valley TRCE Roswell, GA 30076",Chas Bush,male,46,59,,,
"728 Springview CT Roswell, GA 30076",Denver Hogan,male,31,386,,,
"233 Spring Ridge TRCE Roswell, GA 30076",Howard Hendricks,male,16,41,,,
"200 Glenrose CT Roswell, GA 30076",Melvin Carroll,male,16,645,,,
"147 Lakeland WAY Roswell, GA 30076",Clifford Hansen,male,7,425,,,
"641 Ridgemont DR Roswell, GA 30076",Hunter Pace,male,14,91,,,
"727 Lake Forest PASS Roswell, GA 30076",Lino Kramer,male,46,439,,,
"2536 Club Springs DR Roswell, GA 30076",Gayle Mullen,male,27,145,,,
"507 Wood Valley TRCE Roswell, GA 30076",Azzie Baird,female,30,522,,,
"112 Ridge WAY Roswell, GA 30076",Rolland Dawson,male,49,86,,,
"1113 Atherton PARK Roswell, GA 30076",Danial Walter,male,67,306,,,
"647 Wood Valley TRCE Roswell, GA 30076",Lili Emerson,female,53,424,,,
"120 Spring Ridge TRCE Roswell, GA 30076",Nolan Lancaster,male,56,136,,,
"130 Lakeland WAY Roswell, GA 30076",Genevie Wolf,female,35,318,,,
"230 Spring Ridge TRCE Roswell, GA 30076",Deangelo Conner,male,10,639,,,
"618 Ridgemont DR Roswell, GA 30076",Gabriel Mayo,male,28,986,,,
"540 Spring Ridge DR Roswell, GA 30076",Linwood Richards,male,37,308,,,
"719 Lake Forest PASS Roswell, GA 30076",Travis Mendoza,male,14,345,,,
"9814 Terrace Lake PT Roswell, GA 30076",Christian Mueller,male,47,290,,,
"136 Spring Ridge DR Roswell, GA 30076",Keiko Gay,female,25,166,,,
"733 Lake Forest PASS Roswell, GA 30076",Patrick Hines,male,69,75,,,
"2202 Roxburgh DR Roswell, GA 30076",Graham Welch,male,32,306,,,
"411 Spring Ridge DR Roswell, GA 30076",Gigi Gutierrez,female,30,122,,,
"644 Wood Valley TRCE Roswell, GA 30076",Mikel Stone,male,41,131,,,
"513 Wood Valley TRCE Roswell, GA 30076",Allena Hahn,female,20,325,,,
"9930 Terrace Lake PT Roswell, GA 30076",Christoper Sharpe,male,13,223,,,
"206 Spring Ridge CT Roswell, GA 30076",Roni Rivas,female,48,493,,,
"821 Lake Forest PASS Roswell, GA 30076",Carey Brady,male,47,365,,,
"2236 Roxburgh DR Roswell, GA 30076",Glen Roach,male,52,216,,,
"101 Camellia WAY Roswell, GA 30076",Kelvin Wilson,male,60,138,,,
"2542 Camden Glen CT Roswell, GA 30076",Clay Ramirez,male,14,213,,,
"632 Wood Valley TRCE Roswell, GA 30076",Claribel Humphrey,female,61,292,,,
"1000 Park Meadow LN Roswell, GA 30076",Oscar Herrera,male,29,265,,,
"10033 Fairway Village DR Roswell, GA 30076",Kelvin Myers,male,24,303,,,
"701 Lake Forest PASS Roswell, GA 30076",Dominick Newman,male,64,354,,,
"2500 Club Springs DR Roswell, GA 30076",Gerald Kirkland,male,27,251,,,
"142 Lakeland WAY Roswell, GA 30076",Cole Garza,male,47,480,,,
"2639 Camden Glen CT Roswell, GA 30076",Renaldo Larson,male,27,309,,,
"639 Springview CT Roswell, GA 30076",Malcom Rush,male,11,135,,,
"1124 Atherton PARK Roswell, GA 30076",Cleveland Simpson,male,55,219,,,
"537 Ridgemont DR Roswell, GA 30076",Madalene Tucker,female,17,238,,,
"2443 Camden Glen CT Roswell, GA 30076",Alexander Green,female,60,64,,,
"848 Lake Forest PASS Roswell, GA 30076",Val Mcfarland,male,26,331,,,
"513 Ridgemont DR Roswell, GA 30076",Alfredo Ortiz,male,13,825,,,
"514 Wood Valley TRCE Roswell, GA 30076",Barney Bean,male,64,106,,,
"1116 Atherton PARK Roswell, GA 30076",Gail Battle,male,47,91,,,
"513 Spring Ridge DR Roswell, GA 30076",Kasey Snider,male,8,493,,,
"130 Ridge WAY Roswell, GA 30076",Tasia Rosario,female,55,223,,,
"704 Springview CT Roswell, GA 30076",Logan Bentley,male,35,572,,,
"450 Spring Ridge DR Roswell, GA 30076",Ollie Burris,male,48,457,,,
"209 Spring Ridge CT Roswell, GA 30076",Maria Mercado,male,11,399,,,
"710 Wood Valley TRCE Roswell, GA 30076",Tennille Wilkins,female,21,228,,,
"510 Ridgemont DR Roswell, GA 30076",Adrian Abbott,male,51,734,,,
"230 Spring Ridge DR Roswell, GA 30076",Christian Glenn,male,41,146,,,
"10038 Fairway Village DR Roswell, GA 30076",Josefine Hudson,female,22,130,,,
"9800 Terrace Lake PT Roswell, GA 30076",Horacio Cardenas,male,60,170,,,
"2544 Camden Glen CT Roswell, GA 30076",Malvina Mejia,female,9,167,,,
"9929 Terrace Lake PT Roswell, GA 30076",Edmund Pitts,male,47,738,,,
"319 Spring Ridge DR Roswell, GA 30076",Manual Hodges,male,14,450,,,
"204 Spring Ridge TRCE Roswell, GA 30076",Katharina Montgomery,female,59,483,,,
"2414 Camden Glen CT Roswell, GA 30076",Larraine Kramer,female,30,511,,,
"2340 Club Springs DR Roswell, GA 30076",Sonny Craft,male,33,591,,,
"142 Spring Ridge CT Roswell, GA 30076",Byron Santiago,male,12,96,,,
"9844 Terrace Lake PT Roswell, GA 30076",Brain Mcpherson,male,46,447,,,
"225 Spring Ridge TRCE Roswell, GA 30076",Erline Thompson,female,50,150,,,
"2316 Club Springs DR Roswell, GA 30076",Raina Zimmerman,female,40,599,,,
"9714 Terrace Lake PT Roswell, GA 30076",Josh Holmes,male,10,525,,,
"302 Spring Ridge TRCE Roswell, GA 30076",Lashay Sharp,female,39,315,,,
"519 Spring Ridge DR Roswell, GA 30076",Delpha Carver,female,5,250,,,
"2532 Club Springs DR Roswell, GA 30076",Marylyn Boyer,female,69,593,,,
"10010 Fairway Village DR Roswell, GA 30076",Ty Buckner,male,38,217,,,
"2215 Roxburgh DR Roswell, GA 30076",Jolie Ferguson,female,32,232,,,
"816 Lake Forest PASS Roswell, GA 30076",Iraida Abbott,female,56,495,,,
"2537 Roxburgh DR Roswell, GA 30076",Delbert Hoover,male,42,72,,,
"10041 Fairway Village DR Roswell, GA 30076",Jarvis Matthews,male,22,287,,,
"104 Camellia WAY Roswell, GA 30076",Sharika Foster,female,43,440,,,
"2333 Roxburgh DR Roswell, GA 30076",Edda Rhodes,female,59,592,,,
"9847 Terrace Lake PT Roswell, GA 30076",Gavin Duran,male,35,295,,,
"236 Spring Ridge DR Roswell, GA 30076",Latesha Potter,female,20,595,,,
"1302 Atherton PARK Roswell, GA 30076",Ludie Johnson,female,30,264,,,
"1202 Atherton PARK Roswell, GA 30076",Alden Roth,male,42,85,,,
"1203 Atherton PARK Roswell, GA 30076",Aide Mcdonald,female,54,330,,,
"1342 Atherton PARK Roswell, GA 30076",Ulrike Hayden,female,8,697,,,
"737 Lake Forest PASS Roswell, GA 30076",Brittaney Hodge,female,7,655,,,
"1130 Atherton PARK Roswell, GA 30076",Byron Collier,male,59,40,,,
"611 Springview CT Roswell, GA 30076",Merle Acosta,male,57,557,,,
"710 Lake Forest PASS Roswell, GA 30076",Everette Merritt,male,64,277,,,
"104 Lakeland WAY Roswell, GA 30076",Alphonse Castaneda,male,42,248,,,
"9831 Terrace Lake PT Roswell, GA 30076",Laure Richardson,female,5,396,,,
"1218 Atherton PARK Roswell, GA 30076",Drew Shepherd,male,32,139,,,
"527 Wood Valley TRCE Roswell, GA 30076",Darnell Olson,female,41,298,,,
"2551 Club Springs DR Roswell, GA 30076",Dion Valdez,male,6,401,,,
"2404 Camden Glen CT Roswell, GA 30076",Tisa Rosa,female,6,688,,,
"534 Spring Ridge DR Roswell, GA 30076",Alexander Keller,male,18,800,,,
"131 Ridge WAY Roswell, GA 30076",Monte Moran,male,69,263,,,
"2331 Roxburgh DR Roswell, GA 30076",Shin Avila,female,67,134,,,
"106 Spring Ridge DR Roswell, GA 30076",Larae Malone,female,49,208,,,
"2437 Club Springs DR Roswell, GA 30076",Julius Ryan,male,52,241,,,
"10015 Fairway Village DR Roswell, GA 30076",Carmelina Vang,female,41,484,,,
"447 Spring Ridge TRCE Roswell, GA 30076",Ellamae Perkins,female,5,439,,,
"1143 Atherton PARK Roswell, GA 30076",Carlos Strickland,male,50,644,,,
"635 Springview CT Roswell, GA 30076",Earlean Klein,female,40,493,,,
"820 Lake Forest PASS Roswell, GA 30076",Claudie Stephens,female,30,156,,,
"137 Spring Ridge DR Roswell, GA 30076",Waldo Gilliam,male,19,505,,,
"642 Ridgemont DR Roswell, GA 30076",Damon Elliott,male,68,435,,,
"2438 Camden Glen CT Roswell, GA 30076",Claud Weber,male,38,382,,,
"564 Wood Valley TRCE Roswell, GA 30076",Karoline Burke,female,24,429,,,
"116 Lakeland WAY Roswell, GA 30076",Bruce Villarreal,male,64,802,,,
"841 Lake Forest PASS Roswell, GA 30076",Brenton Patel,male,9,286,,,
"547 Ridgemont DR Roswell, GA 30076",Glennie Maynard,female,42,610,,,
"758 Springview CT Roswell, GA 30076",Guadalupe Ratliff,male,34,440,,,
"548 Ridgemont DR Roswell, GA 30076",Lynn Adkins,male,54,218,,,
"460 Spring Ridge DR Roswell, GA 30076",Edwardo Burnett,male,48,623,,,
"126 Spring Ridge TRCE Roswell, GA 30076",Everette Dickerson,male,10,429,,,
"632 Ridgemont DR Roswell, GA 30076",Taylor Mcintyre,male,57,205,,,
"9908 Terrace Lake PT Roswell, GA 30076",Kareen Nixon,female,17,326,,,
"9906 Fairway Village DR Roswell, GA 30076",Eugenie Richard,female,47,182,,,
"336 Spring Ridge DR Roswell, GA 30076",Wilson Phillips,male,19,97,,,
"2517 Camden Glen CT Roswell, GA 30076",Babette Fitzgerald,female,62,221,,,
"614 Ridgemont DR Roswell, GA 30076",Lance Reynolds,male,53,358,,,
"410 Spring Ridge TRCE Roswell, GA 30076",Stephan Velasquez,male,37,85,,,
"1107 Atherton PARK Roswell, GA 30076",Harold Strickland,male,11,101,,,
"2447 Club Springs DR Roswell, GA 30076",Many Fitzgerald,female,51,142,,,
"2442 Roxburgh DR Roswell, GA 30076",Willard Crawford,male,33,210,,,
"436 Spring Ridge TRCE Roswell, GA 30076",Buffy Castillo,female,43,136,,,
"748 Wood Valley TRCE Roswell, GA 30076",Rosendo Barnett,male,21,235,,,
"123 Camellia WAY Roswell, GA 30076",Oren Ayers,male,56,617,,,
"620 Wood Valley TRCE Roswell, GA 30076",Derek Riggs,male,53,329,,,
"453 Spring Ridge TRCE Roswell, GA 30076",Columbus King,male,46,201,,,
"2648 Camden Glen CT Roswell, GA 30076",Keiko Fitzgerald,female,11,179,,,
"2321 Club Springs DR Roswell, GA 30076",Thurman Conley,male,43,502,,,
"1210 Atherton PARK Roswell, GA 30076",Myrl Ford,female,57,272,,,
"316 Spring Ridge TRCE Roswell, GA 30076",Kurtis Grimes,male,10,117,,,
"9912 Terrace Lake PT Roswell, GA 30076",Reena Rosales,female,7,734,,,
"9910 Terrace Lake PT Roswell, GA 30076",Lupe Conner,male,7,276,,,
"248 Spring Ridge DR Roswell, GA 30076",Veronique Christian,female,39,194,,,
"9803 Terrace Lake PT Roswell, GA 30076",Ned Huff,male,47,188,,,
"607 Springview CT Roswell, GA 30076",Harold Riley,male,63,209,,,
"646 Ridgemont DR Roswell, GA 30076",Sachiko Jensen,female,27,122,,,
"104 Ridge WAY Roswell, GA 30076",Virgilio Burris,male,55,692,,,
"626 Ridgemont DR Roswell, GA 30076",Emmanuel Le,male,18,544,,,
"9711 Terrace Lake PT Roswell, GA 30076",Alla Adams,female,59,272,,,
"2338 Roxburgh DR Roswell, GA 30076",Sterling Fletcher,male,58,1100,,,
"325 Spring Ridge TRCE Roswell, GA 30076",Buck Lloyd,male,66,137,,,
"504 Spring Ridge DR Roswell, GA 30076",Scot Bush,male,42,291,,,
"531 Wood Valley TRCE Roswell, GA 30076",Dudley Benjamin,male,26,220,,,
"621 Springview CT Roswell, GA 30076",Herb Cooper,male,43,397,,,
"2226 Roxburgh DR Roswell, GA 30076",Dong Kramer,male,60,143,,,
"152 Ridge WAY Roswell, GA 30076",Emery Henry,male,38,174,,,
"521 Spring Ridge DR Roswell, GA 30076",Harold Briggs,female,51,544,,,
"1229 Atherton PARK Roswell, GA 30076",Khalilah Ballard,female,66,430,,,
"518 Ridgemont DR Roswell, GA 30076",Gigi Carey,female,20,72,,,
"726 Springview CT Roswell, GA 30076",Marquitta Wilkinson,female,63,377,,,
"9913 Terrace Lake PT Roswell, GA 30076",Otha Osborne,male,20,969,,,
"224 Spring Ridge TRCE Roswell, GA 30076",Stevie Ford,male,38,660,,,
"126 Ridge WAY Roswell, GA 30076",Monte Lloyd,male,61,629,,,
"115 Spring Ridge DR Roswell, GA 30076",Edra Donovan,female,40,158,,,
"135 Ridge WAY Roswell, GA 30076",Eleonore Sweeney,female,38,626,,,
"9820 Terrace Lake PT Roswell, GA 30076",Larraine Moon,female,40,705,,,
"520 Wood Valley TRCE Roswell, GA 30076",Harold Valentine,female,13,493,,,
"9921 Terrace Lake PT Roswell, GA 30076",Jenae Rocha,female,57,236,,,
"2303 Club Springs DR Roswell, GA 30076",Curtis Cline,male,66,475,,,
"102 Spring Ridge CT Roswell, GA 30076",Shaun Molina,female,41,54,,,
"1102 Atherton PARK Roswell, GA 30076",Manuel Carpenter,male,40,392,,,
"530 Ridgemont DR Roswell, GA 30076",Armand Mccarthy,male,16,49,,,
"10042 Fairway Village DR Roswell, GA 30076",Trudi Townsend,female,48,128,,,
"236 Spring Ridge CT Roswell, GA 30076",Loyd Hansen,male,7,164,,,
"648 Ridgemont DR Roswell, GA 30076",Maxwell Wilkinson,male,34,354,,,
"146 Spring Ridge CT Roswell, GA 30076",Dorsey Booker,male,46,349,,,
"2417 Club Springs DR Roswell, GA 30076",Jess Mendoza,male,28,220,,,
"9947 Terrace Lake PT Roswell, GA 30076",Timothy Burgess,male,56,395,,,
"2549 Camden Glen CT Roswell, GA 30076",Maye Mayer,female,42,593,,,
"614 Wood Valley TRCE Roswell, GA 30076",Twana Beck,female,47,658,,,
"2229 Roxburgh DR Roswell, GA 30076",Roland Elliott,male,31,190,,,
"840 Lake Forest PASS Roswell, GA 30076",Eli Goff,male,56,540,,,
"643 Wood Valley TRCE Roswell, GA 30076",Jama Curry,female,63,405,,,
"344 Spring Ridge DR Roswell, GA 30076",Reagan Marquez,female,19,404,,,
"330 Spring Ridge TRCE Roswell, GA 30076",Lucio Simmons,male,36,194,,,
"507 Ridgemont DR Roswell, GA 30076",Kristle Bates,female,21,559,,,
"103 Spring Ridge TRCE Roswell, GA 30076",Lavera Bond,female,31,251,,,
"508 Spring Ridge DR Roswell, GA 30076",Rudolf Mercado,male,42,687,,,
"609 Springview CT Roswell, GA 30076",Ezekiel Floyd,male,45,122,,,
"565 Wood Valley TRCE Roswell, GA 30076",Maxwell Ochoa,male,24,236,,,
"318 Spring Ridge DR Roswell, GA 30076",Son Cortez,female,8,603,,,
"2535 Camden Glen CT Roswell, GA 30076",Randee Knowles,female,62,206,,,
"604 Wood Valley TRCE Roswell, GA 30076",Katlyn Macias,female,44,219,,,
"645 Fourth Fairway DR Roswell, GA 30076",Anya Baxter,female,67,234,,,
"430 Fourth Fairway DR Roswell, GA 30076",Carolyne Peters,female,9,223,,,
"8305 Riverbirch DR Roswell, GA 30076",Emanuel Campos,male,55,474,,,
"8535 Riverbirch DR Roswell, GA 30076",Hiedi Hancock,female,69,697,,,
"8138 Overview CT Roswell, GA 30076",Edward Ochoa,female,6,424,,,
"2704 Misty Morning LN Roswell, GA 30076",Dorotha Alexander,female,34,578,,,
"106 Lazy Laurel Chase Roswell, GA 30076",Arnold Lynch,male,40,218,,,
"2537 The Fifth Fairway Roswell, GA 30076",Chanelle Wiggins,female,6,576,,,
"8511 Steeple Chase DR Roswell, GA 30076",Georgianne Kane,female,32,426,,,
"300 Foliage CT Roswell, GA 30076",Numbers Ellison,female,28,562,,,
"316 Seventeenth Fairway Roswell, GA 30076",Barry Conrad,male,53,714,,,
"21 Lazy Laurel Close Roswell, GA 30076",Marielle Peck,female,45,612,,,
"2573 Whisper Wind CT Roswell, GA 30076",Andera James,female,54,458,,,
"105 Lazy Laurel Chase Roswell, GA 30076",Carlo Valencia,male,53,466,,,
"8415 Riverbirch DR Roswell, GA 30076",Antone Nash,male,27,224,,,
"8571 Steeple Chase DR Roswell, GA 30076",Celinda Bell,female,29,769,,,
"2535 Whisper Wind CT Roswell, GA 30076",Truman York,male,8,564,,,
"624 Winnmark DR Roswell, GA 30076",Evia Chambers,female,49,211,,,
"2402 The Fifth Fairway Roswell, GA 30076",Jerry Scott,male,17,404,,,
"305 Banyon Brook PT Roswell, GA 30076",Kina James,female,38,363,,,
"216 Seventeenth Fairway Roswell, GA 30076",Alvin Roberts,male,13,608,,,
"2 Lazy Laurel Close Roswell, GA 30076",Reda Torres,female,33,576,,,
"214 Shadowledge LN Roswell, GA 30076",Virgil Mathews,male,8,477,,,
"8500 Olde Pacer Pointe Roswell, GA 30076",Beverlee Patterson,female,62,91,,,
"400 Dogleg CT Roswell, GA 30076",Walter Goodwin,male,45,700,,,
"8429 Riverbirch DR Roswell, GA 30076",Cruz Wiley,male,30,744,,,
"539 Fourth Fairway DR Roswell, GA 30076",Leonardo Leblanc,male,5,221,,,
"200 Back Tee CT Roswell, GA 30076",Brian Green,female,23,693,,,
"138 Willow Brook DR Roswell, GA 30076",Dotty Tyler,female,49,90,,,
"8627 Haven Wood TRL Roswell, GA 30076",Josh Donaldson,male,37,735,,,
"200 Nestor CT Roswell, GA 30076",Chan House,female,65,434,,,
"400 Tapestry TRL Roswell, GA 30076",Chaya Valentine,female,62,62,,,
"340 Banyon Brook PT Roswell, GA 30076",Graig Britt,male,45,313,,,
"329 Seventeenth Fairway Roswell, GA 30076",Philip Jennings,male,9,130,,,
"518 Fourth Fairway DR Roswell, GA 30076",Wenona Mcfadden,female,63,614,,,
"2661 Misty Morning LN Roswell, GA 30076",Ira Stuart,male,28,644,,,
"8109 Overview CT Roswell, GA 30076",Rubi Maddox,female,39,463,,,
"8611 Haven Wood TRL Roswell, GA 30076",Scott Salas,female,11,720,,,
"216 Shadowledge LN Roswell, GA 30076",Palmer Summers,male,7,200,,,
"8143 Overview CT Roswell, GA 30076",Elin Velasquez,female,54,500,,,
"8608 Haven Wood TRL Roswell, GA 30076",Claude Mullins,female,5,526,,,
"700 Winnmark CT Roswell, GA 30076",Lamar O'donnell,male,39,97,,,
"8467 Haven Wood TRL Roswell, GA 30076",Everette Golden,male,11,372,,,
"2416 Village On The GRN Roswell, GA 30076",Justa Daniel,female,24,245,,,
"2415 The Fifth Fairway Roswell, GA 30076",Kelly Richards,male,37,254,,,
"2605 Satinwood DR Roswell, GA 30076",Selene Calderon,female,39,436,,,
"327 Banyon Brook PT Roswell, GA 30076",Denita Butler,female,62,200,,,
"8171 Overview CT Roswell, GA 30076",Micheal Ellison,male,55,486,,,
"500 Approach CT Roswell, GA 30076",Daniell Craft,female,67,212,,,
"219 Seventeenth Fairway Roswell, GA 30076",Edgardo Webb,male,34,298,,,
"129 Lazy Laurel Chase Roswell, GA 30076",Darrell Warner,male,19,436,,,
"8621 Haven Wood TRL Roswell, GA 30076",Truman Vasquez,male,61,474,,,
"200 Sandtrap WAY Roswell, GA 30076",Sherman O'donnell,male,30,297,,,
"2438 Village On The GRN Roswell, GA 30076",Ivory Patel,male,38,341,,,
"2441 The Fifth Fairway Roswell, GA 30076",Linwood Alvarado,male,7,437,,,
"2601 Satinwood DR Roswell, GA 30076",Ian Chase,male,19,213,,,
"100 Belmont PL Roswell, GA 30076",Georgeann Middleton,female,19,292,,,
"100 Major CT Roswell, GA 30076",Seymour Mcintyre,male,62,652,,,
"2612 Misty Morning LN Roswell, GA 30076",Curtis Keith,male,36,477,,,
"210 Shadowledge LN Roswell, GA 30076",Dewitt Fernandez,male,68,405,,,
"8528 Riverbirch DR Roswell, GA 30076",Vernia Harvey,female,50,325,,,
"8117 Riverbirch DR Roswell, GA 30076",Buster Reyes,male,14,325,,,
"2600 Hazy Hollow RUN Roswell, GA 30076",Khalilah Ruiz,female,45,89,,,
"2711 Satinwood DR Roswell, GA 30076",Jarvis Mcknight,male,33,401,,,
"8445 Riverbirch DR Roswell, GA 30076",Lacresha Nielsen,female,55,292,,,
"45 Lazy Laurel Close Roswell, GA 30076",Brooks Clayton,male,42,271,,,
"312 Banyon Brook PT Roswell, GA 30076",Palmer Gutierrez,male,7,249,,,
"216 Merritt DR Roswell, GA 30076",Antwan Mckee,male,23,329,,,
"2479 The Fifth Fairway Roswell, GA 30076",Mozell Case,female,68,188,,,
"8342 Riverbirch DR Roswell, GA 30076",Sal Lane,male,69,225,,,
"8102 Riverbirch DR Roswell, GA 30076",Arnoldo Joyce,male,53,129,,,
"550 Fourth Fairway DR Roswell, GA 30076",Randy Rosario,male,59,225,,,
"2530 Links End Roswell, GA 30076",Aleisha Castro,female,20,453,,,
"8139 Riverbirch DR Roswell, GA 30076",Alvin Mullen,male,15,348,,,
"8114 Riverbirch DR Roswell, GA 30076",Gayle Marshall,male,33,251,,,
"8374 Riverbirch DR Roswell, GA 30076",Roger Morrow,male,39,404,,,
"2541 Links End Roswell, GA 30076",Domitila Molina,female,26,527,,,
"137 Willow Brook DR Roswell, GA 30076",Glenn Barnett,female,65,371,,,
"495 Dogleg CT Roswell, GA 30076",Toby Coffey,male,63,605,,,
"8280 Overview CT Roswell, GA 30076",Ashanti Kim,female,9,354,,,
"2518 Whisper Wind CT Roswell, GA 30076",Kaila Sheppard,female,37,280,,,
"2434 Village On The GRN Roswell, GA 30076",Vanna Ellison,female,69,553,,,
"1 Lake Villa DR Roswell, GA 30076",Newton Schmidt,male,47,191,,,
"8298 Overview CT Roswell, GA 30076",Lorenzo Pollard,male,28,589,,,
"2537 Steeple Chase DR Roswell, GA 30076",Carmelo Mayer,male,23,318,,,
"8288 Riverbirch DR Roswell, GA 30076",Jess Knowles,male,26,814,,,
"2606 Satinwood DR Roswell, GA 30076",Stewart Holden,male,58,129,,,
"2514 Whisper Wind CT Roswell, GA 30076",Galen Guerra,male,29,820,,,
"2714 Hazy Hollow RUN Roswell, GA 30076",Warren Jenkins,male,20,344,,,
"8530 Riverbirch DR Roswell, GA 30076",Eliana Riley,female,28,500,,,
"8607 Steeple Chase DR Roswell, GA 30076",Sergio Kline,male,5,88,,,
"8245 Overview CT Roswell, GA 30076",Shon Mejia,male,62,624,,,
"2668 Misty Morning LN Roswell, GA 30076",Napoleon Noble,male,13,587,,,
"8421 Riverbirch DR Roswell, GA 30076",Roni Blackburn,female,27,476,,,
"8137 Overview CT Roswell, GA 30076",Krishna Herrera,female,52,715,,,
"8433 Riverbirch DR Roswell, GA 30076",Percy Bryant,male,29,325,,,
"2741 Hazy Hollow RUN Roswell, GA 30076",Donnie Pugh,male,12,52,,,
"2607 Satinwood DR Roswell, GA 30076",Alejandrina Gould,female,44,146,,,
"622 Winnmark DR Roswell, GA 30076",Patrina Palmer,female,68,637,,,
"351 Banyon Brook PT Roswell, GA 30076",Manda Buckley,female,30,728,,,
"325 Seventeenth Fairway Roswell, GA 30076",Maile Mcclure,female,43,74,,,
"8520 Riverbirch DR Roswell, GA 30076",Nathanael Finch,male,13,523,,,
"8409 Haven Wood TRL Roswell, GA 30076",Euna Pugh,female,27,82,,,
"106 Willow Brook DR Roswell, GA 30076",Stephen Shields,male,26,309,,,
"8526 Riverbirch DR Roswell, GA 30076",Rafael Waller,male,12,294,,,
"8600 Haven Wood TRL Roswell, GA 30076",Jessika Maynard,female,36,375,,,
"2643 Links End Roswell, GA 30076",Sung Doyle,female,57,450,,,
"8618 Haven Wood TRL Roswell, GA 30076",Marica Burnett,female,34,657,,,
"8103 Riverbirch DR Roswell, GA 30076",Elias Fleming,male,7,721,,,
"626 Winnmark DR Roswell, GA 30076",Gudrun Velazquez,female,14,135,,,
"8609 Haven Wood TRL Roswell, GA 30076",Na White,female,15,294,,,
"2707 Hazy Hollow RUN Roswell, GA 30076",Nicholas Mccullough,male,33,264,,,
"8519 Steeple Chase DR Roswell, GA 30076",So Mercer,female,31,441,,,
"8246 Overview CT Roswell, GA 30076",Launa Benson,female,28,322,,,
"8332 Riverbirch DR Roswell, GA 30076",Voncile Washington,female,45,658,,,
"130 Willow Brook DR Roswell, GA 30076",Melissia Castaneda,female,6,654,,,
"8424 Riverbirch DR Roswell, GA 30076",Tanja Espinoza,female,41,430,,,
"306 Banyon Brook PT Roswell, GA 30076",Kelly Frank,male,58,519,,,
